Relative Path,Name,Grouping Var,CONTROL,TYPE
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_020_S721067_SB1002_SN_G1.d.zip,SB1002_SN_G1,SN_clone1002,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_021_S721068_SB1002_SN_G2.d.zip,SB1002_SN_G2,SN_clone1002,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_019_S721066_SB0804_TSB_F3.d.zip,SB0804_TSB_F3,TSB_clone0804,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_005_S721053_6850_TSB_B2.d.zip,6850_TSB_B2,TSB_Ancestor,C,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_003_S721051_6850_SN_A3.d.zip,6850_SN_A3,SN_Ancestor,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_008_S721056_SB0403_SN_C2.d.zip,SB0403_SN_C2,SN_clone0403,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_001_S721049_6850_SN_A1.d.zip,6850_SN_A1,SN_Ancestor,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_023_S721070_SB1002_TSB_H1.d.zip,SB1002_TSB_H1,TSB_clone1002,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_004_S721052_6850_TSB_B1.d.zip,6850_TSB_B1,TSB_Ancestor,C,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_015_S721062_SB0804_SN_E2.d.zip,SB0804_SN_E2,SN_clone0804,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_007_S721055_SB0403_SN_C1.d.zip,SB0403_SN_C1,SN_clone0403,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_012_S721060_SB0403_TSB_D3.d.zip,SB0403_TSB_D3,TSB_clone0403,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_006_S721054_6850_TSB_B3.d.zip,6850_TSB_B3,TSB_Ancestor,C,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_022_S721069_SB1002_SN_G3.d.zip,SB1002_SN_G3,SN_clone1002,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_016_S721063_SB0804_SN_E3.d.zip,SB0804_SN_E3,SN_clone0804,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_010_S721058_SB0403_TSB_D1.d.zip,SB0403_TSB_D1,TSB_clone0403,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_002_S721050_6850_SN_A2.d.zip,6850_SN_A2,SN_Ancestor,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_017_S721064_SB0804_TSB_F1.d.zip,SB0804_TSB_F1,TSB_clone0804,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_009_S721057_SB0403_SN_C3.d.zip,SB0403_SN_C3,SN_clone0403,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_024_S721071_SB1002_TSB_H2.d.zip,SB1002_TSB_H2,TSB_clone1002,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_018_S721065_SB0804_TSB_F2.d.zip,SB0804_TSB_F2,TSB_clone0804,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_013_S721061_SB0804_SN_E1.d.zip,SB0804_SN_E1,SN_clone0804,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_011_S721059_SB0403_TSB_D2.d.zip,SB0403_TSB_D2,TSB_clone0403,T,DIA
p35658/Proteomics/TIMSTOF_1/jonas_20240731_6850_SB0403_SB0804_SB1002/zip/20240731_025_S721072_SB1002_TSB_H3.d.zip,SB1002_TSB_H3,TSB_clone1002,T,DIA
